Filename,Domain_Structure,M_r,M_s,H_c,H_cr,M_r/M_s,H_cr/H_c
PLAG219, Single_Domain,,,0.0244621324197816,0.0453397328347991,0.48316465489,1.85346608614278
PLAG220, Single_Domain,,,0.0331153415475544,0.0444174699028195,0.423570196075,1.34129584135604
PLAG221, Single_Domain,,,0.02688394782976,0.0348083820013904,0.62864929925,1.29476452721197
PLAG222, Single_Domain,,,0.033133310364501,0.0508451910057761,0.473777866205,1.53456417262344
PLAG223, Single_Domain,,,0.0656926594122919,0.0906134000528345,0.491058612755,1.37935350560461
PLAG224, Single_Domain,,,0.0358746917352613,0.058211846807687,0.4384585630465,1.62264381913756
PLAG225, Single_Domain,,,0.0413210819281197,0.0550337672583281,0.490912738855,1.3318568800803
PLAG226, Single_Domain,,,0.0372991529963315,0.0536287195175352,0.482913826345,1.43779992866888
PLAG227, Single_Domain,,,0.0411720863088145,0.0618856181016297,0.46981170973,1.50309648234611
PLAG228, Single_Domain,,,0.0646210688887071,0.0893166492490476,0.4786397514346,1.38215988662881
PLAG229, Single_Domain,,,0.0523647423681989,0.0645379834537926,0.470293077375,1.23247018003065
PLAG230, Single_Domain,,,0.0398606143975002,0.0488706411789085,0.45948755114,1.22603833176172
PLAG231, Single_Domain,,,0.05883004772831,0.0781000791996176,0.51239035705,1.32755423827465
PLAG232, Single_Domain,,,0.0367405480358029,0.0613902814631659,0.484601050735,1.67091360214176
PLAG233, Single_Domain,,,0.0254421002685912,0.0323469274127861,0.7059192076,1.27139375567665
PLAG234, Single_Domain,,,0.0239203527697128,0.0316437351769112,0.7046932661,1.3228791181114
PLAG235, Single_Domain,,,0.0356557804307791,0.0492189440874631,0.501956510165,1.38039172029946
PLAG236, Single_Domain,,,0.0569087257495661,0.0804393980280615,0.51294390266,1.41348091999187
PLAG237, Single_Domain,,,0.0578663324419117,0.0767906283746232,0.49529715055,1.32703465269219
PLAG238, Single_Domain,,,0.0345469002507421,0.0518586026408587,0.4318971436185,1.50110725606257
PLAG239, Single_Domain,,,0.0565755065809061,0.0779041766281285,0.4681452907,1.3769947692244
PLAG240, Single_Domain,,,0.030354089859781,0.0505862983373086,0.48126143259,1.66653978330397
PLAG241, Single_Domain,,,0.0308815204588203,0.0443385516810357,0.500020607995,1.43576323387833
PLAG242, Single_Domain,,,0.0403328974480402,0.0684310419613014,0.45172688686,1.6966557398823
PLAG243, Single_Domain,,,0.0218058356364695,0.0302112193746312,0.70316903335,1.38546487638859
PLAG244, Single_Domain,,,0.0373845590810724,0.054848616970702,0.47242307257,1.46714628496104
PLAG245, Single_Domain,,,0.0428469388367915,0.0648310923533904,0.45900184319,1.51308574459284
